Weapon1,Weapon2,Material1,Material2,Hypothesis,Total Cells,Matching Cells,Type1,Type2
f366f00cde,f366f00cde,Nickel,Brass,1,22,8,125b,125b
5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,19,14,125b,125b
5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,28,16,125b,125b
d469fc3f70,d469fc3f70,Brass,Nickel,1,16,0,125b,125b
d469fc3f70,d469fc3f70,Nickel,Brass,1,24,1,125b,125b
d9628e3d80,d9628e3d80,Brass,Brass,1,16,2,125b,125b
d9628e3d80,d9628e3d80,Brass,Brass,1,16,1,125b,125b
2a3b7ab647,2a3b7ab647,Nickel,Brass,1,16,1,125b,125b
2a3b7ab647,2a3b7ab647,Brass,Nickel,1,18,2,125b,125b
9fbbe4fcae,9fbbe4fcae,Nickel,Brass,1,26,2,125b,125b
9fbbe4fcae,9fbbe4fcae,Brass,Nickel,1,14,1,125b,125b
a524d36b72,a524d36b72,Brass,Brass,1,20,12,125b,125b
a524d36b72,a524d36b72,Brass,Brass,1,24,11,125b,125b
7204a1feeb,7204a1feeb,Brass,Brass,1,20,3,125b,125b
7204a1feeb,7204a1feeb,Brass,Brass,1,20,2,125b,125b
651a720f52,651a720f52,Nickel,Brass,1,20,15,125b,125b
651a720f52,651a720f52,Brass,Nickel,1,23,15,125b,125b
c2081b71be,c2081b71be,Brass,Nickel,1,16,0,125b,125b
c2081b71be,c2081b71be,Nickel,Brass,1,21,2,125b,125b
979f5b1f5f,979f5b1f5f,Nickel,Brass,1,23,2,125b,125b
979f5b1f5f,979f5b1f5f,Brass,Nickel,1,20,2,125b,125b
9c6504e345,9c6504e345,Brass,Brass,1,18,1,125b,125b
9c6504e345,9c6504e345,Brass,Brass,1,24,1,125b,125b
bf77a5ca9b,bf77a5ca9b,Nickel,Brass,1,23,2,125b,125b
bf77a5ca9b,bf77a5ca9b,Brass,Nickel,1,23,3,125b,125b
be50e7d534,be50e7d534,Brass,Nickel,1,21,6,125b,125b
be50e7d534,be50e7d534,Nickel,Brass,1,26,13,125b,125b
93f6afc25d,93f6afc25d,Nickel,Brass,1,28,2,125b,125b
93f6afc25d,93f6afc25d,Brass,Nickel,1,18,2,125b,125b
ed472f9cda,ed472f9cda,Nickel,Brass,1,26,2,125b,125b
ed472f9cda,ed472f9cda,Brass,Nickel,1,20,3,125b,125b
a49e80e2bf,a49e80e2bf,Brass,Nickel,1,16,0,125b,125b
a49e80e2bf,a49e80e2bf,Nickel,Brass,1,26,1,125b,125b
e68e579c5b,e68e579c5b,Nickel,Brass,1,44,3,125b,125b
e68e579c5b,e68e579c5b,Brass,Nickel,1,43,2,125b,125b
114a81160d,114a81160d,Nickel,Brass,1,28,11,125b,125b
114a81160d,114a81160d,Brass,Nickel,1,16,9,125b,125b
54602388df,54602388df,Nickel,Brass,1,18,6,125b,125b
54602388df,54602388df,Brass,Nickel,1,16,6,125b,125b
4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,24,2,125b,125b
4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,23,2,125b,125b
81a541161d,81a541161d,Brass,Brass,1,26,11,125b,125b
81a541161d,81a541161d,Brass,Brass,1,23,12,125b,125b
1588672e36,1588672e36,Brass,Nickel,1,16,12,125b,125b
1588672e36,1588672e36,Nickel,Brass,1,20,12,125b,125b
5a62fb7223,5a62fb7223,Nickel,Nickel,1,20,3,125b,125b
5a62fb7223,5a62fb7223,Nickel,Nickel,1,26,4,125b,125b
cd576798db,cd576798db,Nickel,Nickel,1,16,2,125b,125b
cd576798db,cd576798db,Nickel,Nickel,1,17,3,125b,125b
0c7139a036,0c7139a036,Nickel,Brass,1,26,8,125b,125b
0c7139a036,0c7139a036,Brass,Nickel,1,16,6,125b,125b
fc6e345a87,fc6e345a87,Brass,Nickel,1,16,1,125b,125b
fc6e345a87,fc6e345a87,Nickel,Brass,1,21,1,125b,125b
f8c4c41732,f8c4c41732,Brass,Nickel,1,19,9,125b,125b
f8c4c41732,f8c4c41732,Nickel,Brass,1,30,12,125b,125b
a34f3c0664,a34f3c0664,Nickel,Nickel,1,28,10,125b,125b
a34f3c0664,a34f3c0664,Nickel,Nickel,1,28,9,125b,125b
b8299ace38,b8299ace38,Brass,Brass,1,26,2,125b,125b
b8299ace38,b8299ace38,Brass,Brass,1,18,1,125b,125b
2d2accdd65,2d2accdd65,Nickel,Brass,1,26,2,125b,125b
2d2accdd65,2d2accdd65,Brass,Nickel,1,26,2,125b,125b
b70daf2149,b70daf2149,Brass,Brass,1,20,1,125b,125b
b70daf2149,b70daf2149,Brass,Brass,1,18,1,125b,125b
