Weapon1,Weapon2,Material1,Material2,Hypothesis,Score,Type1,Type2
ed472f9cda,ed472f9cda,Nickel,Brass,1,0.8735503524746658,125b,125b
ed472f9cda,ed472f9cda,Brass,Nickel,1,0.8739398782808729,125b,125b
a49e80e2bf,a49e80e2bf,Brass,Nickel,1,0.7276769534187187,125b,125b
a49e80e2bf,a49e80e2bf,Nickel,Brass,1,0.727676953418719,125b,125b
114a81160d,114a81160d,Nickel,Brass,1,0.9676086385955821,125b,125b
114a81160d,114a81160d,Brass,Nickel,1,0.9676086385955821,125b,125b
54602388df,54602388df,Nickel,Brass,1,0.9827462849477727,125b,125b
54602388df,54602388df,Brass,Nickel,1,0.9827462849477724,125b,125b
4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,0.8738142696872415,125b,125b
4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,0.8704023591364539,125b,125b
1588672e36,1588672e36,Brass,Nickel,1,0.9766064060246713,125b,125b
1588672e36,1588672e36,Nickel,Brass,1,0.977257292978055,125b,125b
5a62fb7223,5a62fb7223,Nickel,Nickel,1,0.9487158594369665,125b,125b
5a62fb7223,5a62fb7223,Nickel,Nickel,1,0.9487158594369665,125b,125b
cd576798db,cd576798db,Nickel,Nickel,1,0.7209758619411318,125b,125b
cd576798db,cd576798db,Nickel,Nickel,1,0.7205764076875762,125b,125b
0c7139a036,0c7139a036,Nickel,Brass,1,0.7112248798413943,125b,125b
0c7139a036,0c7139a036,Brass,Nickel,1,0.7112248798413945,125b,125b
fc6e345a87,fc6e345a87,Brass,Nickel,1,0.8554767242062573,125b,125b
fc6e345a87,fc6e345a87,Nickel,Brass,1,0.8582977428918019,125b,125b
f8c4c41732,f8c4c41732,Brass,Nickel,1,0.7542551078527735,125b,125b
f8c4c41732,f8c4c41732,Nickel,Brass,1,0.7537073347056223,125b,125b
b8299ace38,b8299ace38,Brass,Brass,1,0.8411326793411877,125b,125b
b8299ace38,b8299ace38,Brass,Brass,1,0.8404705308907565,125b,125b
77d984eb8b,77d984eb8b,Brass,Nickel,1,0.9506114832084113,125b,125b
77d984eb8b,77d984eb8b,Nickel,Brass,1,0.9506114832084112,125b,125b
9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,0.6380070163387986,125b,125b
9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,0.6380070163387987,125b,125b
9645e12969,9645e12969,Brass,Nickel,1,0.9114137624273949,125b,125b
9645e12969,9645e12969,Nickel,Brass,1,0.9114137624273949,125b,125b
64161ddb14,64161ddb14,Nickel,Nickel,1,0.8691163293303329,125b,125b
64161ddb14,64161ddb14,Nickel,Nickel,1,0.8694614064496303,125b,125b
e139e26428,e139e26428,Nickel,Nickel,1,0.8910758283030634,125b,125b
e139e26428,e139e26428,Nickel,Nickel,1,0.8910758283030633,125b,125b
8c82f237f9,8c82f237f9,Brass,Nickel,1,0.8326167742985309,125b,125b
8c82f237f9,8c82f237f9,Nickel,Brass,1,0.8290506088358761,125b,125b
8197f401c9,8197f401c9,Nickel,Nickel,1,0.8801360423799354,125b,125b
8197f401c9,8197f401c9,Nickel,Nickel,1,0.8801360423799358,125b,125b
e3d39b187c,e3d39b187c,Brass,Brass,1,0.9151537810607335,125b,125b
e3d39b187c,e3d39b187c,Brass,Brass,1,0.9151537810607336,125b,125b
5e1f731abe,5e1f731abe,Brass,Brass,1,0.8611963295484065,125b,125b
5e1f731abe,5e1f731abe,Brass,Brass,1,0.8611963295484065,125b,125b
b9dba629ae,b9dba629ae,Nickel,Nickel,1,0.8317878125067429,125b,125b
b9dba629ae,b9dba629ae,Nickel,Nickel,1,0.8317878125067428,125b,125b
13189e401d,13189e401d,Nickel,Brass,1,0.7278045667257286,125b,125b
13189e401d,13189e401d,Brass,Nickel,1,0.7276976732797116,125b,125b
b92f20bb93,b92f20bb93,Brass,Nickel,1,0.7761169437149708,125b,125b
b92f20bb93,b92f20bb93,Nickel,Brass,1,0.7762698840494873,125b,125b
218ae10a65,218ae10a65,Nickel,Nickel,1,0.7701174204547455,125b,125b
218ae10a65,218ae10a65,Nickel,Nickel,1,0.7698788339128512,125b,125b
b4f6763191,b4f6763191,Nickel,Nickel,1,0.8090927155181471,125b,125b
b4f6763191,b4f6763191,Nickel,Nickel,1,0.8096238279800019,125b,125b
ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,0.9728910590592406,125b,125b
ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,0.9728910590592406,125b,125b
554cd2f9ad,554cd2f9ad,Brass,Nickel,1,0.9227451058281976,125b,125b
554cd2f9ad,554cd2f9ad,Nickel,Brass,1,0.9227451058281974,125b,125b
a9542eafb6,a9542eafb6,Nickel,Brass,1,0.9551272519556946,125b,125b
a9542eafb6,a9542eafb6,Brass,Nickel,1,0.9551272519556941,125b,125b
d54a78b3f6,d54a78b3f6,Brass,Brass,1,0.8439114920361858,125b,125b
d54a78b3f6,d54a78b3f6,Brass,Brass,1,0.8434230099368423,125b,125b
275310424a,275310424a,Brass,Nickel,1,0.7944340824364697,125b,125b
275310424a,275310424a,Nickel,Brass,1,0.7937737386636948,125b,125b
dd8d33227f,dd8d33227f,Nickel,Brass,1,0.949810171527544,125b,125b
dd8d33227f,dd8d33227f,Brass,Nickel,1,0.9498101715275443,125b,125b
7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,0.842730060650694,125b,125b
7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,0.8427463453215371,125b,125b
0b782c3069,0b782c3069,Nickel,Nickel,1,0.9494094235903946,125b,125b
0b782c3069,0b782c3069,Nickel,Nickel,1,0.9494094235903944,125b,125b
b4475e07ab,b4475e07ab,Nickel,Nickel,1,0.9001618797703625,125b,125b
b4475e07ab,b4475e07ab,Nickel,Nickel,1,0.900161879770362,125b,125b
1440f0509e,1440f0509e,Nickel,Nickel,1,0.9689393071486877,125b,125b
1440f0509e,1440f0509e,Nickel,Nickel,1,0.9689393071486877,125b,125b
744a7e7690,744a7e7690,Nickel,Nickel,1,0.8734952181547365,125b,125b
744a7e7690,744a7e7690,Nickel,Nickel,1,0.8734952181547366,125b,125b
88c293654f,88c293654f,Brass,Nickel,1,0.7825159683068538,125b,125b
88c293654f,88c293654f,Nickel,Brass,1,0.7826568255079489,125b,125b
9fbf447e53,9fbf447e53,Nickel,Brass,1,0.7702561547837666,125b,125b
9fbf447e53,9fbf447e53,Brass,Nickel,1,0.7702561547837664,125b,125b
1be78463d7,1be78463d7,Nickel,Brass,1,0.9752830124955918,125b,125b
1be78463d7,1be78463d7,Brass,Nickel,1,0.975283012495592,125b,125b
41f1030655,41f1030655,Nickel,Brass,1,0.9599860938846818,125b,125b
41f1030655,41f1030655,Brass,Nickel,1,0.9599860938846814,125b,125b
ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,0.7557774595041589,125b,125b
ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,0.7560790744993509,125b,125b
07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,0.9059163458357942,125b,125b
07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,0.9059163458357938,125b,125b
2dafb6ca52,2dafb6ca52,Nickel,Brass,1,0.6219106960639033,125b,125b
2dafb6ca52,2dafb6ca52,Brass,Nickel,1,0.6216905571001132,125b,125b
1f2544214d,1f2544214d,Nickel,Nickel,1,0.8444962450556376,125b,125b
1f2544214d,1f2544214d,Nickel,Nickel,1,0.844496245055637,125b,125b
37d21f987c,37d21f987c,Brass,Brass,1,0.7054278192233,125b,125b
37d21f987c,37d21f987c,Brass,Brass,1,0.696403165309044,125b,125b
43012574d4,43012574d4,Nickel,Nickel,1,0.8818275288105679,125b,125b
43012574d4,43012574d4,Nickel,Nickel,1,0.882510689443475,125b,125b
0f1b7d028f,0f1b7d028f,Brass,Brass,1,0.9696708610966546,125b,125b
0f1b7d028f,0f1b7d028f,Brass,Brass,1,0.9696708610966545,125b,125b
a3b1085bea,a3b1085bea,Brass,Nickel,1,0.8670750237338251,125b,125b
a3b1085bea,a3b1085bea,Nickel,Brass,1,0.8670750237338254,125b,125b
3443ea5ba5,3443ea5ba5,Brass,Brass,1,0.754524074641839,125b,125b
3443ea5ba5,3443ea5ba5,Brass,Brass,1,0.7545240746418391,125b,125b
21664540e1,21664540e1,Brass,Brass,1,0.8683916855464343,125b,125b
21664540e1,21664540e1,Brass,Brass,1,0.8683916855464344,125b,125b
a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,0.8608385256806194,125b,125b
a0575f4e5b,a0575f4e5b,Nickel,Nickel,1,0.8613542491608159,125b,125b
90d6397a11,90d6397a11,Brass,Brass,1,0.7642981161828454,125b,125b
90d6397a11,90d6397a11,Brass,Brass,1,0.7642240229703361,125b,125b
633fbb7de1,633fbb7de1,Nickel,Nickel,1,0.6559192626678196,125b,125b
633fbb7de1,633fbb7de1,Nickel,Nickel,1,0.6555419690344356,125b,125b
3a2a75a851,3a2a75a851,Brass,Brass,1,0.9100884776830863,125b,125b
3a2a75a851,3a2a75a851,Brass,Brass,1,0.9100884776830865,125b,125b
803e2e304c,803e2e304c,Brass,Nickel,1,0.6467781224503953,125b,125b
803e2e304c,803e2e304c,Nickel,Brass,1,0.6461313566141892,125b,125b
a404412c4e,a404412c4e,Nickel,Brass,1,0.8997078744502951,125b,125b
a404412c4e,a404412c4e,Brass,Nickel,1,0.8997078744502953,125b,125b
b18136930a,b18136930a,Nickel,Nickel,1,0.9387853672482885,125b,125b
b18136930a,b18136930a,Nickel,Nickel,1,0.9375524163291916,125b,125b
ef4d4aee2a,ef4d4aee2a,Nickel,Brass,1,0.8956641942731355,125b,125b
ef4d4aee2a,ef4d4aee2a,Brass,Nickel,1,0.8959881595315676,125b,125b
d5070cee0f,d5070cee0f,Nickel,Brass,1,0.9855058145489509,125b,125b
d5070cee0f,d5070cee0f,Brass,Nickel,1,0.9855058145489513,125b,125b
06e173827a,06e173827a,Nickel,Brass,1,0.7737426406671899,125b,125b
06e173827a,06e173827a,Brass,Nickel,1,0.7740202893136175,125b,125b
ab584c07c2,ab584c07c2,Brass,Brass,1,0.9574506919095491,125b,125b
ab584c07c2,ab584c07c2,Brass,Brass,1,0.9568163940590286,125b,125b
e6cc40d201,e6cc40d201,Brass,Nickel,1,0.8712617432179263,125b,125b
e6cc40d201,e6cc40d201,Nickel,Brass,1,0.8713342725878904,125b,125b
d64504718a,d64504718a,Brass,Nickel,1,0.6028124681942976,125b,125b
d64504718a,d64504718a,Nickel,Brass,1,0.5733642705877217,125b,125b
6e46d2b898,6e46d2b898,Brass,Nickel,1,0.952028450262079,125b,125b
6e46d2b898,6e46d2b898,Nickel,Brass,1,0.9520284502620792,125b,125b
4b653e1078,4b653e1078,Nickel,Nickel,1,0.6759808748010228,125b,125b
4b653e1078,4b653e1078,Nickel,Nickel,1,0.6756602578969038,125b,125b
dd89c806a4,dd89c806a4,Nickel,Nickel,1,0.9260756478673283,125b,125b
dd89c806a4,dd89c806a4,Nickel,Nickel,1,0.9260756478673285,125b,125b
13e462a218,13e462a218,Nickel,Nickel,1,0.6546609871302979,125b,125b
13e462a218,13e462a218,Nickel,Nickel,1,0.6546609871302979,125b,125b
4bbf967d87,4bbf967d87,Brass,Brass,1,0.6758858781366404,125b,125b
4bbf967d87,4bbf967d87,Brass,Brass,1,0.6753584766355553,125b,125b
3c6819beb9,3c6819beb9,Brass,Brass,1,0.904010899644305,125b,125b
3c6819beb9,3c6819beb9,Brass,Brass,1,0.904010899644305,125b,125b
442ed1aba3,442ed1aba3,Brass,Brass,1,0.7212540484381451,125b,125b
442ed1aba3,442ed1aba3,Brass,Brass,1,0.7212540484381451,125b,125b
c9661c2165,c9661c2165,Nickel,Nickel,1,0.8098686332141609,125b,125b
c9661c2165,c9661c2165,Nickel,Nickel,1,0.8103042194710471,125b,125b
cccba287c0,cccba287c0,Brass,Brass,1,0.8581138538029522,125b,125b
cccba287c0,cccba287c0,Brass,Brass,1,0.8581138538029524,125b,125b
fe57804d2f,fe57804d2f,Brass,Nickel,1,0.8672617448031482,125b,125b
fe57804d2f,fe57804d2f,Nickel,Brass,1,0.867261744803148,125b,125b
5e80774246,5e80774246,Nickel,Brass,1,0.8850083742925849,125b,125b
5e80774246,5e80774246,Brass,Nickel,1,0.8850083742925849,125b,125b
a7941599a3,a7941599a3,Brass,Nickel,1,0.79119918101386,125b,125b
a7941599a3,a7941599a3,Nickel,Brass,1,0.7911097637786751,125b,125b
53b447cf40,53b447cf40,Nickel,Nickel,1,0.9446858139428462,125b,125b
53b447cf40,53b447cf40,Nickel,Nickel,1,0.9446858139428462,125b,125b
7f3b7d60f8,7f3b7d60f8,Nickel,Brass,1,0.8736145980397488,125b,125b
7f3b7d60f8,7f3b7d60f8,Brass,Nickel,1,0.8742407682629839,125b,125b
1f1cc95695,1f1cc95695,Nickel,Brass,1,0.5960386600310652,125b,125b
1f1cc95695,1f1cc95695,Brass,Nickel,1,0.5958480632950955,125b,125b
1ed3442cfa,1ed3442cfa,Nickel,Nickel,1,0.9581690226242578,125b,125b
1ed3442cfa,1ed3442cfa,Nickel,Nickel,1,0.9581690226242581,125b,125b
386dbcc899,386dbcc899,Brass,Nickel,1,0.5913478492864197,125b,125b
386dbcc899,386dbcc899,Nickel,Brass,1,0.5916507470230337,125b,125b
9749f4949a,9749f4949a,Brass,Brass,1,0.8827766858025302,125b,125b
9749f4949a,9749f4949a,Brass,Brass,1,0.8827766858025301,125b,125b
e6b0884c5f,e6b0884c5f,Brass,Brass,1,0.7402024327266157,125b,125b
e6b0884c5f,e6b0884c5f,Brass,Brass,1,0.7402024327266155,125b,125b
797ececd4d,797ececd4d,Brass,Brass,1,0.9507932834117223,125b,125b
797ececd4d,797ececd4d,Brass,Brass,1,0.950793283411722,125b,125b
53e96a3c39,53e96a3c39,Nickel,Brass,1,0.5511078470543396,125b,125b
53e96a3c39,53e96a3c39,Brass,Nickel,1,0.5514122147098733,125b,125b
db4804f266,db4804f266,Nickel,Nickel,1,0.9687208851358581,125b,125b
db4804f266,db4804f266,Nickel,Nickel,1,0.968720885135858,125b,125b
ea5653bbfb,ea5653bbfb,Brass,Brass,1,0.8673397114795378,125b,125b
ea5653bbfb,ea5653bbfb,Brass,Brass,1,0.8672200801010059,125b,125b
650f711e0f,650f711e0f,Brass,Nickel,1,0.9383510320053529,125b,125b
650f711e0f,650f711e0f,Nickel,Brass,1,0.9383510320053525,125b,125b
ae9b0acf0b,ae9b0acf0b,Nickel,Nickel,1,0.8953405813132134,125b,125b
ae9b0acf0b,ae9b0acf0b,Nickel,Nickel,1,0.895340581313213,125b,125b
485d8c99eb,485d8c99eb,Nickel,Brass,1,0.8379631981779377,125b,125b
485d8c99eb,485d8c99eb,Brass,Nickel,1,0.8370423707956971,125b,125b
0e45ff7118,0e45ff7118,Nickel,Brass,1,0.6748852838313477,125b,125b
0e45ff7118,0e45ff7118,Brass,Nickel,1,0.6740732367869536,125b,125b
ff11e3e39e,ff11e3e39e,Brass,Nickel,1,0.687311122891685,125b,125b
ff11e3e39e,ff11e3e39e,Nickel,Brass,1,0.6873391459216932,125b,125b
93ac97b997,93ac97b997,Brass,Nickel,1,0.591924047851666,125b,125b
93ac97b997,93ac97b997,Nickel,Brass,1,0.5910275820677232,125b,125b
0d991a198f,0d991a198f,Nickel,Nickel,1,0.9729833027955681,125b,125b
0d991a198f,0d991a198f,Nickel,Nickel,1,0.9729833027955679,125b,125b
0705af84e4,0705af84e4,Brass,Brass,1,0.9495714069248659,125b,125b
0705af84e4,0705af84e4,Brass,Brass,1,0.9496472621264321,125b,125b
cc6c455419,cc6c455419,Nickel,Brass,1,0.7394730470605727,125b,125b
cc6c455419,cc6c455419,Brass,Nickel,1,0.7394440408099184,125b,125b
b4ecec09f7,b4ecec09f7,Brass,Brass,1,0.9047148052952984,125b,125b
b4ecec09f7,b4ecec09f7,Brass,Brass,1,0.9047148052952984,125b,125b
bd89ab2453,bd89ab2453,Nickel,Brass,1,0.8919403036896818,125b,125b
bd89ab2453,bd89ab2453,Brass,Nickel,1,0.8919403036896821,125b,125b
5c05f057df,5c05f057df,Brass,Brass,1,0.9017516574712894,125b,125b
5c05f057df,5c05f057df,Brass,Brass,1,0.9017516574712892,125b,125b
024453ba54,024453ba54,Nickel,Nickel,1,0.9092516786323944,125b,125b
024453ba54,024453ba54,Nickel,Nickel,1,0.9091907943117614,125b,125b
f9063e2a6e,f9063e2a6e,Nickel,Brass,1,0.8322008123984925,125b,125b
f9063e2a6e,f9063e2a6e,Brass,Nickel,1,0.8315860016678227,125b,125b
a83feb1bb6,a83feb1bb6,Nickel,Brass,1,0.7324339642445538,125b,125b
a83feb1bb6,a83feb1bb6,Brass,Nickel,1,0.7319967849017813,125b,125b
c0355dcdaa,c0355dcdaa,Nickel,Nickel,1,0.9508846312483046,125b,125b
c0355dcdaa,c0355dcdaa,Nickel,Nickel,1,0.9473127620014118,125b,125b
f20719359c,f20719359c,Brass,Brass,1,0.7002157179955445,125b,125b
f20719359c,f20719359c,Brass,Brass,1,0.7004878536771294,125b,125b
ff7d167ca0,ff7d167ca0,Brass,Brass,1,0.7504537748823149,125b,125b
ff7d167ca0,ff7d167ca0,Brass,Brass,1,0.750453774882315,125b,125b
4e0193ff9e,4e0193ff9e,Brass,Nickel,1,0.666079094511109,125b,125b
4e0193ff9e,4e0193ff9e,Nickel,Brass,1,0.6660790945111091,125b,125b
9b00c4c264,9b00c4c264,Brass,Nickel,1,0.9717811378321612,125b,125b
9b00c4c264,9b00c4c264,Nickel,Brass,1,0.9720321981374774,125b,125b
6fe84404dd,6fe84404dd,Nickel,Nickel,1,0.7903326383637702,125b,125b
6fe84404dd,6fe84404dd,Nickel,Nickel,1,0.7901342197689236,125b,125b
2d95605114,2d95605114,Brass,Brass,1,0.532946310793991,fcc2,fcc2
2d95605114,2d95605114,Brass,Brass,1,0.5077275256386868,fcc2,fcc2
84106ae247,84106ae247,Nickel,Nickel,1,0.8926925648032372,fcc2,fcc2
84106ae247,84106ae247,Nickel,Nickel,1,0.8926925648032371,fcc2,fcc2
eb358a4d60,eb358a4d60,Brass,Brass,1,0.5828543680948028,fcc2,fcc2
eb358a4d60,eb358a4d60,Brass,Brass,1,0.5830435926287371,fcc2,fcc2
5d25cd3446,5d25cd3446,Nickel,Nickel,1,0.8776211717899758,fcc2,fcc2
5d25cd3446,5d25cd3446,Nickel,Nickel,1,0.8777493442572378,fcc2,fcc2
5b23b59131,5b23b59131,Brass,Brass,1,0.6408717338046676,fcc2,fcc2
5b23b59131,5b23b59131,Brass,Brass,1,0.6411516713092514,fcc2,fcc2
a672c8a1fa,a672c8a1fa,Nickel,Brass,1,0.4825732485048631,fcc2,fcc2
a672c8a1fa,a672c8a1fa,Brass,Nickel,1,0.48285418909063943,fcc2,fcc2
247918f662,247918f662,Brass,Nickel,1,0.8390981187088778,fcc2,fcc2
247918f662,247918f662,Nickel,Brass,1,0.8389819520130957,fcc2,fcc2
ae9b0acf0b,cc6c455419,Nickel,Brass,0,0.5578312522829466,125b,125b
cc6c455419,ae9b0acf0b,Brass,Nickel,0,0.5573156045807283,125b,125b
