Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
8eda,8eda,8edaa51105,8edaa51105,Brass,Nickel,1,4,20
8eda,8eda,8edaa51105,8edaa51105,Nickel,Brass,1,6,28
9f5c,9f5c,9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,12,25
9f5c,9f5c,9f5cee2a11,9f5cee2a11,Nickel,Nickel,1,13,30
9e16,9e16,9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,16,26
9e16,9e16,9e169b6b4a,9e169b6b4a,Nickel,Nickel,1,14,26
2558,2558,255872d83b,255872d83b,Brass,Nickel,1,9,26
2558,2558,255872d83b,255872d83b,Nickel,Brass,1,8,28
84e0,84e0,84e0e9ad16,84e0e9ad16,Brass,Nickel,1,3,23
84e0,84e0,84e0e9ad16,84e0e9ad16,Nickel,Brass,1,2,24
9e83,9e83,9e83787977,9e83787977,Brass,Brass,1,16,26
9e83,9e83,9e83787977,9e83787977,Brass,Brass,1,17,30
cdfa,cdfa,cdfa00c17a,cdfa00c17a,Brass,Nickel,1,6,18
cdfa,cdfa,cdfa00c17a,cdfa00c17a,Nickel,Brass,1,6,26
5187,5187,5187134316,5187134316,Brass,Brass,1,3,26
5187,5187,5187134316,5187134316,Brass,Brass,1,3,26
0658,0658,065850e0e3,065850e0e3,Brass,Brass,1,11,16
0658,0658,065850e0e3,065850e0e3,Brass,Brass,1,12,23
4657,4657,465776f37d,465776f37d,Nickel,Nickel,1,10,21
4657,4657,465776f37d,465776f37d,Nickel,Nickel,1,8,21
7471,7471,74711b8750,74711b8750,Brass,Nickel,1,2,19
7471,7471,74711b8750,74711b8750,Nickel,Brass,1,4,18
1fa0,1fa0,1fa0c6d8d0,1fa0c6d8d0,Brass,Nickel,1,8,16
1fa0,1fa0,1fa0c6d8d0,1fa0c6d8d0,Nickel,Brass,1,14,23
33cc,33cc,33cc68a9eb,33cc68a9eb,Brass,Nickel,1,14,20
33cc,33cc,33cc68a9eb,33cc68a9eb,Nickel,Brass,1,13,16
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,3,21
326b,326b,326bd7053d,326bd7053d,Nickel,Nickel,1,6,26
6ba9,6ba9,6ba945db7f,6ba945db7f,Brass,Brass,1,18,21
6ba9,6ba9,6ba945db7f,6ba945db7f,Brass,Brass,1,18,26
27c0,27c0,27c03bf211,27c03bf211,Nickel,Brass,1,14,26
27c0,27c0,27c03bf211,27c03bf211,Brass,Nickel,1,10,23
f366,f366,f366f00cde,f366f00cde,Brass,Nickel,1,10,21
f366,f366,f366f00cde,f366f00cde,Nickel,Brass,1,8,22
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,14,19
5c9d,5c9d,5c9da0f7f0,5c9da0f7f0,Brass,Brass,1,16,28
d469,d469,d469fc3f70,d469fc3f70,Brass,Nickel,1,0,16
d469,d469,d469fc3f70,d469fc3f70,Nickel,Brass,1,1,24
d962,d962,d9628e3d80,d9628e3d80,Brass,Brass,1,2,16
d962,d962,d9628e3d80,d9628e3d80,Brass,Brass,1,1,16
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Nickel,Brass,1,1,16
2a3b,2a3b,2a3b7ab647,2a3b7ab647,Brass,Nickel,1,2,18
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Nickel,Brass,1,2,26
9fbb,9fbb,9fbbe4fcae,9fbbe4fcae,Brass,Nickel,1,1,14
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,12,20
a524,a524,a524d36b72,a524d36b72,Brass,Brass,1,11,24
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,3,20
7204,7204,7204a1feeb,7204a1feeb,Brass,Brass,1,2,20
651a,651a,651a720f52,651a720f52,Nickel,Brass,1,15,20
651a,651a,651a720f52,651a720f52,Brass,Nickel,1,15,23
c208,c208,c2081b71be,c2081b71be,Brass,Nickel,1,0,16
c208,c208,c2081b71be,c2081b71be,Nickel,Brass,1,2,21
979f,979f,979f5b1f5f,979f5b1f5f,Nickel,Brass,1,2,23
979f,979f,979f5b1f5f,979f5b1f5f,Brass,Nickel,1,2,20
9c65,9c65,9c6504e345,9c6504e345,Brass,Brass,1,1,18
9c65,9c65,9c6504e345,9c6504e345,Brass,Brass,1,1,24
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Nickel,Brass,1,2,23
bf77,bf77,bf77a5ca9b,bf77a5ca9b,Brass,Nickel,1,3,23
be50,be50,be50e7d534,be50e7d534,Brass,Nickel,1,6,21
be50,be50,be50e7d534,be50e7d534,Nickel,Brass,1,13,26
93f6,93f6,93f6afc25d,93f6afc25d,Nickel,Brass,1,2,28
93f6,93f6,93f6afc25d,93f6afc25d,Brass,Nickel,1,2,18
ed47,ed47,ed472f9cda,ed472f9cda,Nickel,Brass,1,2,26
ed47,ed47,ed472f9cda,ed472f9cda,Brass,Nickel,1,3,20
a49e,a49e,a49e80e2bf,a49e80e2bf,Brass,Nickel,1,0,16
a49e,a49e,a49e80e2bf,a49e80e2bf,Nickel,Brass,1,1,26
e68e,e68e,e68e579c5b,e68e579c5b,Nickel,Brass,1,3,44
e68e,e68e,e68e579c5b,e68e579c5b,Brass,Nickel,1,2,43
114a,114a,114a81160d,114a81160d,Nickel,Brass,1,11,28
114a,114a,114a81160d,114a81160d,Brass,Nickel,1,9,16
5460,5460,54602388df,54602388df,Nickel,Brass,1,6,18
5460,5460,54602388df,54602388df,Brass,Nickel,1,6,16
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,2,24
4a85,4a85,4a8527a9a0,4a8527a9a0,Nickel,Nickel,1,2,23
81a5,81a5,81a541161d,81a541161d,Brass,Brass,1,11,26
81a5,81a5,81a541161d,81a541161d,Brass,Brass,1,12,23
1588,1588,1588672e36,1588672e36,Brass,Nickel,1,12,16
1588,1588,1588672e36,1588672e36,Nickel,Brass,1,12,20
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,3,20
5a62,5a62,5a62fb7223,5a62fb7223,Nickel,Nickel,1,4,26
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,2,16
cd57,cd57,cd576798db,cd576798db,Nickel,Nickel,1,3,17
0c71,0c71,0c7139a036,0c7139a036,Nickel,Brass,1,8,26
0c71,0c71,0c7139a036,0c7139a036,Brass,Nickel,1,6,16
fc6e,fc6e,fc6e345a87,fc6e345a87,Brass,Nickel,1,1,16
fc6e,fc6e,fc6e345a87,fc6e345a87,Nickel,Brass,1,1,21
f8c4,f8c4,f8c4c41732,f8c4c41732,Brass,Nickel,1,9,19
f8c4,f8c4,f8c4c41732,f8c4c41732,Nickel,Brass,1,12,30
a34f,a34f,a34f3c0664,a34f3c0664,Nickel,Nickel,1,10,28
a34f,a34f,a34f3c0664,a34f3c0664,Nickel,Nickel,1,9,28
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,2,26
b829,b829,b8299ace38,b8299ace38,Brass,Brass,1,1,18
2d2a,2d2a,2d2accdd65,2d2accdd65,Nickel,Brass,1,2,26
2d2a,2d2a,2d2accdd65,2d2accdd65,Brass,Nickel,1,2,26
b70d,b70d,b70daf2149,b70daf2149,Brass,Brass,1,1,20
b70d,b70d,b70daf2149,b70daf2149,Brass,Brass,1,1,18
77d9,77d9,77d984eb8b,77d984eb8b,Brass,Nickel,1,2,24
77d9,77d9,77d984eb8b,77d984eb8b,Nickel,Brass,1,0,18
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,8,23
9d58,9d58,9d580ca5f3,9d580ca5f3,Nickel,Nickel,1,9,16
9645,9645,9645e12969,9645e12969,Brass,Nickel,1,16,23
9645,9645,9645e12969,9645e12969,Nickel,Brass,1,14,26
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,15,20
6416,6416,64161ddb14,64161ddb14,Nickel,Nickel,1,16,20
eb19,eb19,eb19c4c309,eb19c4c309,Nickel,Nickel,1,9,18
eb19,eb19,eb19c4c309,eb19c4c309,Nickel,Nickel,1,11,23
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,8,22
e139,e139,e139e26428,e139e26428,Nickel,Nickel,1,13,23
8c82,8c82,8c82f237f9,8c82f237f9,Brass,Nickel,1,2,20
8c82,8c82,8c82f237f9,8c82f237f9,Nickel,Brass,1,0,23
c2b7,c2b7,c2b72ec5bb,c2b72ec5bb,Nickel,Brass,1,4,23
c2b7,c2b7,c2b72ec5bb,c2b72ec5bb,Brass,Nickel,1,6,28
8197,8197,8197f401c9,8197f401c9,Nickel,Nickel,1,7,23
8197,8197,8197f401c9,8197f401c9,Nickel,Nickel,1,3,15
e3d3,e3d3,e3d39b187c,e3d39b187c,Brass,Brass,1,1,20
e3d3,e3d3,e3d39b187c,e3d39b187c,Brass,Brass,1,0,12
5e1f,5e1f,5e1f731abe,5e1f731abe,Brass,Brass,1,4,17
5e1f,5e1f,5e1f731abe,5e1f731abe,Brass,Brass,1,5,21
f48f,f48f,f48f13c8d2,f48f13c8d2,Nickel,Brass,1,4,26
f48f,f48f,f48f13c8d2,f48f13c8d2,Brass,Nickel,1,3,21
b9db,b9db,b9dba629ae,b9dba629ae,Nickel,Nickel,1,12,30
b9db,b9db,b9dba629ae,b9dba629ae,Nickel,Nickel,1,11,20
1318,1318,13189e401d,13189e401d,Nickel,Brass,1,7,26
1318,1318,13189e401d,13189e401d,Brass,Nickel,1,6,18
b92f,b92f,b92f20bb93,b92f20bb93,Brass,Nickel,1,3,20
b92f,b92f,b92f20bb93,b92f20bb93,Nickel,Brass,1,3,26
218a,218a,218ae10a65,218ae10a65,Nickel,Nickel,1,3,20
218a,218a,218ae10a65,218ae10a65,Nickel,Nickel,1,5,16
c2fa,c2fa,c2fa87aa95,c2fa87aa95,Nickel,Brass,1,1,27
c2fa,c2fa,c2fa87aa95,c2fa87aa95,Brass,Nickel,1,1,28
b4f6,b4f6,b4f6763191,b4f6763191,Nickel,Nickel,1,1,21
b4f6,b4f6,b4f6763191,b4f6763191,Nickel,Nickel,1,1,16
ef85,ef85,ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,2,21
ef85,ef85,ef85c2ef6b,ef85c2ef6b,Nickel,Nickel,1,5,16
554c,554c,554cd2f9ad,554cd2f9ad,Brass,Nickel,1,1,26
554c,554c,554cd2f9ad,554cd2f9ad,Nickel,Brass,1,2,26
a954,a954,a9542eafb6,a9542eafb6,Nickel,Brass,1,3,35
a954,a954,a9542eafb6,a9542eafb6,Brass,Nickel,1,2,21
d54a,d54a,d54a78b3f6,d54a78b3f6,Brass,Brass,1,1,20
d54a,d54a,d54a78b3f6,d54a78b3f6,Brass,Brass,1,2,23
2753,2753,275310424a,275310424a,Brass,Nickel,1,1,21
2753,2753,275310424a,275310424a,Nickel,Brass,1,3,23
dd8d,dd8d,dd8d33227f,dd8d33227f,Nickel,Brass,1,1,28
dd8d,dd8d,dd8d33227f,dd8d33227f,Brass,Nickel,1,0,12
7db9,7db9,7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,1,25
7db9,7db9,7db9fa3fdc,7db9fa3fdc,Brass,Brass,1,2,18
0b78,0b78,0b782c3069,0b782c3069,Nickel,Nickel,1,18,25
0b78,0b78,0b782c3069,0b782c3069,Nickel,Nickel,1,12,23
b447,b447,b4475e07ab,b4475e07ab,Nickel,Nickel,1,0,16
b447,b447,b4475e07ab,b4475e07ab,Nickel,Nickel,1,2,21
1440,1440,1440f0509e,1440f0509e,Nickel,Nickel,1,7,23
1440,1440,1440f0509e,1440f0509e,Nickel,Nickel,1,7,23
744a,744a,744a7e7690,744a7e7690,Nickel,Nickel,1,6,21
744a,744a,744a7e7690,744a7e7690,Nickel,Nickel,1,4,23
88c2,88c2,88c293654f,88c293654f,Brass,Nickel,1,1,20
88c2,88c2,88c293654f,88c293654f,Nickel,Brass,1,3,28
9fbf,9fbf,9fbf447e53,9fbf447e53,Nickel,Brass,1,2,28
9fbf,9fbf,9fbf447e53,9fbf447e53,Brass,Nickel,1,1,23
b153,b153,b153610b71,b153610b71,Nickel,Nickel,1,7,23
b153,b153,b153610b71,b153610b71,Nickel,Nickel,1,5,23
1be7,1be7,1be78463d7,1be78463d7,Nickel,Brass,1,2,16
1be7,1be7,1be78463d7,1be78463d7,Brass,Nickel,1,2,20
41f1,41f1,41f1030655,41f1030655,Nickel,Brass,1,3,24
41f1,41f1,41f1030655,41f1030655,Brass,Nickel,1,3,15
ac9b,ac9b,ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,8,23
ac9b,ac9b,ac9b7024b2,ac9b7024b2,Nickel,Nickel,1,9,30
07ff,07ff,07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,8,36
07ff,07ff,07ffa2d44f,07ffa2d44f,Nickel,Nickel,1,9,20
2daf,2daf,2dafb6ca52,2dafb6ca52,Nickel,Brass,1,1,18
2daf,2daf,2dafb6ca52,2dafb6ca52,Brass,Nickel,1,2,20
1f25,1f25,1f2544214d,1f2544214d,Nickel,Nickel,1,2,26
1f25,1f25,1f2544214d,1f2544214d,Nickel,Nickel,1,3,24
37d2,37d2,37d21f987c,37d21f987c,Brass,Brass,1,12,16
37d2,37d2,37d21f987c,37d21f987c,Brass,Brass,1,13,16
