Type1,Type2,Weapon1,Weapon2,Material1,Material2,Hypothesis,Matching Cells,Total Cells
8c18,8c18,8c1853b1f2,8c1853b1f2,Brass,Brass,1,33,97
8c18,8c18,8c1853b1f2,8c1853b1f2,Brass,Brass,1,32,80
c1d6,c1d6,c1d61f8afe,c1d61f8afe,Nickel,Brass,1,18,137
c1d6,c1d6,c1d61f8afe,c1d61f8afe,Brass,Nickel,1,16,82
15f5,15f5,15f571d7a1,15f571d7a1,Copper,Brass,1,26,76
15f5,15f5,15f571d7a1,15f571d7a1,Brass,Copper,1,32,76
4b57,4b57,4b57b1e3a4,4b57b1e3a4,Nickel,Nickel,1,68,125
4b57,4b57,4b57b1e3a4,4b57b1e3a4,Nickel,Nickel,1,67,112
e833,e833,e8337501b2,e8337501b2,Nickel,Brass,1,27,129
e833,e833,e8337501b2,e8337501b2,Brass,Nickel,1,30,76
426b,426b,426bf321f8,426bf321f8,Brass,Brass,1,52,104
426b,426b,426bf321f8,426bf321f8,Brass,Brass,1,43,89
a739,a739,a7393fe923,a7393fe923,Brass,Brass,1,44,93
a739,a739,a7393fe923,a7393fe923,Brass,Brass,1,40,89
17f4,17f4,17f490a856,17f490a856,Brass,Nickel,1,35,80
17f4,17f4,17f490a856,17f490a856,Nickel,Brass,1,40,76
d971,d971,d971d128f9,d971d128f9,Nickel,Brass,1,37,87
d971,d971,d971d128f9,d971d128f9,Brass,Nickel,1,37,97
6398,6398,639880f70e,639880f70e,Nickel,Nickel,1,5,52
6398,6398,639880f70e,639880f70e,Nickel,Nickel,1,4,80
b2a5,b2a5,b2a5b013cf,b2a5b013cf,Nickel,Nickel,1,26,63
b2a5,b2a5,b2a5b013cf,b2a5b013cf,Nickel,Nickel,1,27,61
7695,7695,7695c239d6,7695c239d6,Nickel,Brass,1,26,80
7695,7695,7695c239d6,7695c239d6,Brass,Nickel,1,31,76
e73f,e73f,e73f2a461a,e73f2a461a,Brass,Nickel,1,43,76
